upstream_hotspot,downstream_hotspot,upstream_geodesic_nm,downstream_geodesic_nm,upstream_steps,downstream_steps,upstream_M4,downstream_M4,ratio,delta_log10_M4,upstream_particles,downstream_particles,upstream_coordination,downstream_coordination,upstream_gap_nm,downstream_gap_nm,near_branch,downstream_class
27,35,460.82458371103155,474.88384144188996,21,22,1.992689630653267e-08,1.9212306099890692e-09,0.0964139412598453,-1.0158601634575615,"[15, 22]","[18, 22]","[5, 4]","[3, 4]",3.4402159857315233,4.971037679916861,True,transition
27,39,460.82458371103155,482.9316681520738,21,22,1.992689630653267e-08,1.9927213831532352e-08,1.0000159344935005,6.92020746431811e-06,"[15, 22]","[22, 27]","[5, 4]","[4, 3]",3.4402159857315233,2.083208790941619,True,transition
27,40,460.82458371103155,471.5215088989586,21,22,1.992689630653267e-08,1.190212724005262e-08,0.5972895656686247,-0.22381507208051968,"[15, 22]","[22, 56]","[5, 4]","[4, 3]",3.4402159857315233,2.773573073633745,True,transition
29,28,450.92928321989325,459.8014009060928,21,21,5.962901720445488e-09,9.904353269839593e-09,1.6609955578975464,0.22036847099253637,"[15, 110]","[15, 56]","[5, 2]","[5, 3]",5.436158091802639,1.8859859352315809,True,transition
28,40,459.8014009060928,471.5215088989586,21,22,9.904353269839593e-09,1.190212724005262e-08,1.2017066552236764,0.07979846636410078,"[15, 56]","[22, 56]","[5, 3]","[4, 3]",1.8859859352315809,2.773573073633745,True,transition
28,109,459.8014009060928,482.15450600985736,21,22,9.904353269839593e-09,4.640432727101723e-09,0.4685245568968763,-0.3292676413924048,"[15, 56]","[56, 102]","[5, 3]","[3, 3]",1.8859859352315809,3.0219493959359838,True,transition
145,29,432.12324885698223,450.92928321989325,20,21,1.3355612138096059e-08,5.962901720445488e-09,0.4464716149877308,-0.3502061467330068,"[81, 110]","[15, 110]","[3, 2]","[5, 2]",3.094556656921988,5.436158091802639,True,transition
31,30,196.38979467172095,211.89698742615428,10,11,1.3284406939857564e-06,6.219143367097329e-07,0.46815363269532684,-0.3296116023048029,"[16, 65]","[16, 19]","[3, 2]","[3, 2]",4.066998363042909,3.2246661650841197,True,transition
30,36,211.89698742615428,218.11501008913706,11,11,6.219143367097329e-07,8.242851683342134e-07,1.3253998495920403,0.12234691697082425,"[16, 19]","[19, 23]","[3, 2]","[2, 4]",3.2246661650841197,2.172092137061366,True,transition
121,31,173.38005130911995,196.38979467172095,9,10,1.189781857712471e-05,1.3284406939857564e-06,0.11165413940164437,-0.9521251715090833,"[65, 72]","[16, 65]","[2, 3]","[3, 2]",3.4266310581966835,4.066998363042909,True,transition
32,33,195.36759530715372,213.4689619178194,9,10,7.311237622881518e-07,9.698106889736938e-08,0.13264658310906743,-0.8773039326849671,"[17, 31]","[17, 186]","[3, 2]","[3, 2]",1.823449260077684,4.346081354050835,True,transition
59,32,172.8571825108199,195.36759530715372,8,9,1.7494549999348807e-06,7.311237622881518e-07,0.417915157757911,-0.3789118767356847,"[31, 47]","[17, 31]","[2, 2]","[3, 2]",3.7177475871085655,1.823449260077684,True,transition
35,34,474.88384144188996,481.71617814609726,22,22,1.9212306099890692e-09,2.7564098277056913e-08,14.34710551338433,1.156764292264391,"[18, 22]","[18, 20]","[3, 4]","[3, 2]",4.971037679916861,2.7557464227716437,True,transition
34,37,481.71617814609726,504.52088377606094,22,23,2.7564098277056913e-08,1.9914953585996046e-08,0.7224961029315563,-0.14116449110412763,"[18, 20]","[20, 29]","[3, 2]","[2, 2]",2.7557464227716437,3.0624038013434998,True,transition
35,39,474.88384144188996,482.9316681520738,22,22,1.9212306099890692e-09,1.9927213831532352e-08,10.372109276171551,1.0158670836650259,"[18, 22]","[22, 27]","[3, 4]","[4, 3]",4.971037679916861,2.083208790941619,True,transition
40,35,471.5215088989586,474.88384144188996,22,22,1.190212724005262e-08,1.9212306099890692e-09,0.16141909519533715,-0.7920450913770418,"[22, 56]","[18, 22]","[4, 3]","[3, 4]",2.773573073633745,4.971037679916861,True,transition
