particle_id,E_inc_x_real,E_inc_x_imag,E_inc_y_real,E_inc_y_imag,E_inc_z_real,E_inc_z_imag,E_scat_x_real,E_scat_x_imag,E_scat_y_real,E_scat_y_imag,E_scat_z_real,E_scat_z_imag,E_total_x_real,E_total_x_imag,E_total_y_real,E_total_y_imag,E_total_z_real,E_total_z_imag
114,8.704429796295678e-129,0.0,0.0,0.0,0.0,0.0,-0.0021921002465134535,-8.711155976784636e-05,-0.003357931823010736,-0.00027572515246855486,0.0,0.0,-0.0021921002465134535,-8.711155976784636e-05,-0.003357931823010736,-0.00027572515246855486,0.0,0.0
115,8.809552647994904e-133,0.0,0.0,0.0,0.0,0.0,-0.0014410623474447868,-0.0006533781835184225,-0.0034282214400943064,-0.00041743128264711633,0.0,0.0,-0.0014410623474447868,-0.0006533781835184225,-0.0034282214400943064,-0.00041743128264711633,0.0,0.0
116,1.1485007782682955e-173,0.0,0.0,0.0,0.0,0.0,0.0010649923944891968,-0.0016732214265352844,0.0017312307302447644,-0.0007034082726693131,0.0,0.0,0.0010649923944891968,-0.0016732214265352844,0.0017312307302447644,-0.0007034082726693131,0.0,0.0
117,3.930258894585359e-163,0.0,0.0,0.0,0.0,0.0,-0.0008447399385380839,-0.00023812668536082911,0.0030232963460974896,-0.0014872508937217332,0.0,0.0,-0.0008447399385380839,-0.00023812668536082911,0.0030232963460974896,-0.0014872508937217332,0.0,0.0
118,1.2100535718312224e-138,0.0,0.0,0.0,0.0,0.0,-0.002487110231021181,-0.000650705609918803,-0.002383750113918686,-0.0007540204203157847,0.0,0.0,-0.002487110231021181,-0.000650705609918803,-0.002383750113918686,-0.0007540204203157847,0.0,0.0
119,2.1822343560582648e-15,0.0,0.0,0.0,0.0,0.0,-0.011188730259566444,0.005708378394083387,-0.0104280071669612,0.001184039045682823,0.0,0.0,-0.011188730259564262,0.005708378394083387,-0.0104280071669612,0.001184039045682823,0.0,0.0
120,1.025275258555616e-17,0.0,0.0,0.0,0.0,0.0,-0.005522833128135852,0.0020990145613610854,-0.0032287229560099863,-0.01095594634902657,0.0,0.0,-0.005522833128135842,0.0020990145613610854,-0.0032287229560099863,-0.01095594634902657,0.0,0.0
121,4.90963855461077e-164,0.0,0.0,0.0,0.0,0.0,-0.0006449654378685158,-0.001460476124691989,-0.0012415475923638697,-0.002081002370201279,0.0,0.0,-0.0006449654378685158,-0.001460476124691989,-0.0012415475923638697,-0.002081002370201279,0.0,0.0
122,0.004303141334247781,0.0,0.0,0.0,0.0,0.0,-0.0021655546824328564,0.036524401311806155,0.055125010650781556,0.04563184805595106,0.0,0.0,0.002137586651814925,0.036524401311806155,0.055125010650781556,0.04563184805595106,0.0,0.0
123,0.6054598027111809,0.0,0.0,0.0,0.0,0.0,0.4711528902813735,0.055283403271201965,0.22313958999330322,0.03274119881889232,0.0,0.0,1.0766126929925544,0.055283403271201965,0.22313958999330322,0.03274119881889232,0.0,0.0
124,2.471910766915216e-110,0.0,0.0,0.0,0.0,0.0,-0.0016183499162435477,0.0010752091333945829,-0.002455593737422223,0.004160320028561596,0.0,0.0,-0.0016183499162435477,0.0010752091333945829,-0.002455593737422223,0.004160320028561596,0.0,0.0
125,9.308283043115674e-28,0.0,0.0,0.0,0.0,0.0,0.0038167497827804047,-0.010798421972227424,-0.00819289046170953,0.004102965436579793,0.0,0.0,0.0038167497827804047,-0.010798421972227424,-0.00819289046170953,0.004102965436579793,0.0,0.0
126,2.669757522847241e-47,0.0,0.0,0.0,0.0,0.0,4.76664646068979e-05,-0.002322644801886011,0.0038747355309761986,0.0013681883496234053,0.0,0.0,4.76664646068979e-05,-0.002322644801886011,0.0038747355309761986,0.0013681883496234053,0.0,0.0
127,9.01847913216292e-19,0.0,0.0,0.0,0.0,0.0,-0.0026569863519813807,0.002584530813936729,-0.0004625748558040848,-0.014656027422914593,0.0,0.0,-0.00265698635198138,0.002584530813936729,-0.0004625748558040848,-0.014656027422914593,0.0,0.0
128,9.457402419441917e-28,0.0,0.0,0.0,0.0,0.0,0.007942375371845205,-0.015403906645674523,-0.00511756174290207,0.003224053798796517,0.0,0.0,0.007942375371845205,-0.015403906645674523,-0.00511756174290207,0.003224053798796517,0.0,0.0
129,1.6372900634149034e-147,0.0,0.0,0.0,0.0,0.0,-0.0014537814236746274,-0.0003558425026538347,-0.0010013616702686174,-0.0011335504852776456,0.0,0.0,-0.0014537814236746274,-0.0003558425026538347,-0.0010013616702686174,-0.0011335504852776456,0.0,0.0
130,4.812038174355702e-20,0.0,0.0,0.0,0.0,0.0,-0.009331030872091908,0.0017874538538951508,-0.008192397644419754,0.0073729838654545835,0.0,0.0,-0.009331030872091908,0.0017874538538951508,-0.008192397644419754,0.0073729838654545835,0.0,0.0
131,1.0329167625240464e-172,0.0,0.0,0.0,0.0,0.0,-0.00019178211613935043,-0.0006500404414079953,0.0018542644832260115,-9.826833062141528e-05,0.0,0.0,-0.00019178211613935043,-0.0006500404414079953,0.0018542644832260115,-9.826833062141528e-05,0.0,0.0
132,1.0532611311863256e-19,0.0,0.0,0.0,0.0,0.0,-0.002862426601868003,0.00146395687307751,0.0012674556103915106,-0.015364733326249776,0.0,0.0,-0.002862426601868003,0.00146395687307751,0.0012674556103915106,-0.015364733326249776,0.0,0.0
133,1.1906953155099943e-115,0.0,0.0,0.0,0.0,0.0,-0.0015990272720635562,-0.00014278872365913303,-0.0012481980491006656,0.0036212035697307096,0.0,0.0,-0.0015990272720635562,-0.00014278872365913303,-0.0012481980491006656,0.0036212035697307096,0.0,0.0
134,1.1516154730236274e-25,0.0,0.0,0.0,0.0,0.0,0.0055059391506717195,-0.013620523656414451,-0.008253985959877945,0.009055121073099744,0.0,0.0,0.0055059391506717195,-0.013620523656414451,-0.008253985959877945,0.009055121073099744,0.0,0.0
135,5.392713963308923e-184,0.0,0.0,0.0,0.0,0.0,5.472306717276451e-05,-0.0007250712088133324,0.0011797868958015104,0.0004943978811252632,0.0,0.0,5.472306717276451e-05,-0.0007250712088133324,0.0011797868958015104,0.0004943978811252632,0.0,0.0
