particle_id,x_nm,y_nm,radius_nm,degree,incident_intensity_v2_per_m2,scattered_intensity_v2_per_m2,total_intensity_v2_per_m2,dipole_intensity_c2_m2,normalized_dipole_intensity,directly_illuminated,remote
122,-363.7105223294995,-325.3297660082723,14.699072280108803,2,1.8517025342511776e-05,0.006459753874518659,0.006459633524130069,1.2193103764118933e-69,0.00027814730731479505,False,True
123,-381.33423761367277,-448.8697656423134,20.13028867269631,3,0.36658157269906216,0.275904563420216,1.2130144081124041,1.510314126194692e-66,0.3445306589096403,True,False
124,484.2294666688712,25.74504785594761,19.069640448812333,2,6.110342839591372e-220,2.711333447525862e-05,2.711333447525862e-05,2.439813516358475e-71,5.565667061100327e-06,False,True
125,-126.3695389642474,-47.16765204583898,18.845029276199895,3,8.664413321075479e-55,0.0002151312754859777,0.0002151312754859777,1.8030445802909204e-70,4.113079037777657e-05,False,True
126,239.3585116156262,-354.4010563171347,16.180515048486697,1,7.127605230799437e-94,2.2282465762630854e-05,2.2282465762630854e-05,7.482924216742496e-72,1.706993774507581e-06,False,True
127,-7.466399676272619,-502.0957342820027,17.813697417504148,2,8.133296585725806e-37,0.00022875249132125046,0.00022875249132125046,1.3678114794970309e-70,3.120231626798236e-05,False,True
128,-191.84384715865974,-7.4398869153903,18.696439163894485,3,8.944246052326584e-55,0.0003369456275858981,0.0003369456275858981,2.6930064423158238e-70,6.143247076399078e-05,False,True
129,663.2315243937894,30.049359783978606,19.38936605692913,2,2.6807187517571783e-294,4.527766211872712e-06,4.527766211872712e-06,4.501729289132525e-72,1.0269279293079465e-06,False,True
130,-88.74392077818513,-190.30468378525734,23.705890401100344,2,2.3155711391456557e-39,0.00021173939866028486,0.00021173939866028486,7.030044437322003e-70,0.0001603683498781218,False,True
131,848.8177526354608,-237.94130340109433,23.72455779056646,2,0.0,3.907286394093336e-06,3.907286394093336e-06,1.3034135005622085e-71,2.973327895117166e-06,False,True
132,-1.7444240947565675,-539.7223418263226,17.163026123278854,2,1.1093590104678983e-38,0.00024801812968839584,0.00024801812968839584,1.1862885656336846e-70,2.706144199316447e-05,False,True
133,425.440054448776,164.43591582289022,23.506300272137285,4,1.417755334377445e-230,1.724839049961637e-05,1.724839049961637e-05,5.443507144734835e-71,1.2417649221623355e-05,False,True
134,-168.41239469880256,-43.628435251681026,21.34700372523741,4,1.326218197707433e-50,0.0003659575324802026,0.0003659575324802026,6.479328933954272e-70,0.0001478055080191839,False,True
135,893.2516367838884,-250.1903460286207,19.55875914365733,2,0.0,2.1650492562969363e-06,2.1650492562969363e-06,2.26791396175018e-72,5.173532300600609e-07,False,True
136,139.69729222567665,-166.8891138220557,16.647200353630513,2,2.1243046344067586e-84,8.008642595638161e-05,8.008642595638161e-05,3.1897415756110396e-71,7.276392028230823e-06,False,True
137,5.218609303905006,-577.3466879314192,19.16705693961434,2,2.3191324800684865e-41,0.00017788063086552188,0.00017788063086552188,1.650359086129552e-70,3.7647751121439834e-05,False,True
138,397.953897204913,-83.3838855476332,19.46279186679124,2,1.0899402730311225e-169,1.3215942966687518e-05,1.3215942966687518e-05,1.3441308129625883e-71,3.066211635175121e-06,False,True
139,-375.9671100148514,-361.42797396679964,20.965353403531427,2,0.0021779889843296612,0.009978972132880851,0.008405053994686853,1.335485705126473e-68,0.003046490541083085,True,False
140,440.10016229661005,207.04724239013763,18.102407965245156,2,3.9347285854393727e-247,1.9177539200732257e-05,1.9177539200732257e-05,1.2628252555200722e-71,2.8807385816371533e-06,False,True
141,-232.43323572310734,-21.548669314790864,21.100539964328807,2,1.2840546067227023e-48,0.000488397029061903,0.000488397029061903,8.065240359466364e-70,0.00018398308849250413,False,True
142,-146.77760011519402,-80.33354466034466,17.28184192800631,3,6.562461584508569e-47,0.0003312756693863675,0.0003312756693863675,1.6514753210238015e-70,3.7673214509283705e-05,False,True
143,15.595434617614039,-244.56851117996575,17.366874138891824,2,1.654368653080635e-50,0.00014778900993801783,0.00014778900993801783,7.587757995991205e-71,1.7309083035542953e-05,False,True
144,69.94330365492672,-224.70364465845898,19.243741639904343,3,7.877659838269981e-63,7.853375559742411e-05,7.853375559742411e-05,7.462931890874956e-71,1.702433154246659e-05,False,True
145,311.9106236951826,-124.63151358782473,20.50136668703345,4,5.370141556018897e-136,1.7276389374382463e-05,1.7276389374382463e-05,2.400183419600291e-71,5.475263461531597e-06,False,True
146,21.748279191151287,-443.1682558283867,20.363130584359983,2,8.431473814010074e-42,6.320396113903193e-05,6.320396113903193e-05,8.431574776824674e-71,1.9233985586988e-05,False,True
147,338.37785467801615,-259.1016389251381,17.930230342653434,2,4.2531956602135035e-129,7.365191032321362e-06,7.365191032321362e-06,4.57966532775667e-72,1.0447065849361216e-06,False,True
148,469.31090164271905,172.29549018368013,19.68993029644097,2,2.37646059625229e-248,2.185827720591178e-05,2.185827720591178e-05,2.383361117719302e-71,5.436888671473606e-06,False,True
